Year,Months,PrimaryType
G,A,A
G,A,C
G,B,L
G,B,L
G,B,M
G,A,A
G,C,C
G,A,C
G,C,C
G,B,A
G,A,O
G,B,C
G,B,C
G,A,C
G,B,A
G,C,A
G,B,A
G,B,O
G,B,L
G,D,L
G,B,L
G,B,O
G,B,O
G,B,A
G,A,O
G,C,A
G,B,O
G,A,A
G,A,C
G,A,C
G,B,M
G,B,A
G,B,C
G,C,A
G,B,L
G,C,A
G,C,A
G,C,O
G,A,C
G,D,L
G,C,A
G,C,L
G,C,O
G,B,A
G,B,C
G,A,E
G,C,A
G,B,C
G,C,A
G,B,L
G,C,A
G,C,L
G,C,L
G,C,L
G,C,M
G,C,C
G,C,A
G,A,O
G,C,A
G,C,M
G,B,C
G,B,C
G,C,C
G,D,A
G,D,A
G,C,L
G,C,A
G,C,M
G,C,L
G,C,O
G,D,O
G,D,A
G,C,A
G,C,M
G,C,A
G,C,A
G,C,A
G,C,A
G,C,A
G,C,M
G,C,A
G,D,O
G,C,A
G,C,L
G,C,A
G,C,L
G,A,E
G,B,O
G,B,C
G,C,L
G,D,L
G,A,A
G,B,M
G,B,C
G,C,M
G,C,H
G,C,L
G,C,O
G,D,O
G,C,L
G,C,O
G,B,A
G,C,A
G,D,E
G,C,C
G,C,A
G,C,L
G,C,A
G,B,A
G,C,C
G,B,C
G,C,O
G,C,M
G,C,O
G,C,O
G,B,C
G,C,C
G,C,L
G,C,A
G,C,A
G,C,A
G,B,C
G,C,A
G,A,N
G,B,C
G,B,A
G,B,M
G,B,A
G,C,O
G,C,A
G,C,C
G,C,C
G,B,B
G,B,N
G,C,O
G,B,B
G,C,C
G,A,C
G,D,C
G,C,A
G,C,C
G,B,A
G,C,C
G,D,M
G,C,A
G,B,C
G,C,M
G,C,A
G,B,A
G,C,A
G,A,D
G,C,L
G,A,C
G,C,C
G,A,A
G,C,O
G,C,O
G,C,O
G,C,A
G,B,A
G,C,G
G,B,O
G,C,O
G,B,C
G,A,C
G,C,M
G,C,A
G,C,O
G,C,H
G,C,M
G,C,O
G,C,O
G,C,A
G,C,A
G,D,L
G,D,A
G,D,A
G,D,A
G,D,L
G,D,M
G,B,C
G,B,A
G,A,A
G,D,O
G,D,C
G,D,B
G,D,M
G,D,M
G,C,C
G,C,C
G,A,C
G,A,E
G,C,A
G,C,O
G,A,M
G,A,A
G,A,C
G,A,H
G,A,L
G,A,L
G,A,A
G,A,L
G,A,L
G,A,M
G,A,L
G,A,L
G,A,A
G,A,M
G,A,L
G,A,A
G,A,O
G,A,A
G,A,A
G,A,A
G,A,F
G,A,F
G,A,L
G,A,A
G,A,A
G,A,C
G,A,A
G,A,O
G,A,D
G,A,A
G,A,M
G,A,A
G,A,M
G,A,A
G,A,M
G,A,L
G,A,D
G,A,O
G,A,A
G,A,O
G,A,C
G,A,D
G,A,L
G,D,F
G,A,O
G,A,M
G,A,L
G,A,A
G,A,L
G,A,M
G,A,O
G,A,A
G,A,L
G,A,A
G,A,M
G,A,A
G,A,A
G,A,A
G,A,M
G,A,M
G,A,L
G,A,M
G,A,O
G,A,L
G,A,F
G,D,O
G,A,D
G,A,M
G,A,M
G,A,M
G,A,A
G,A,A
G,A,M
G,A,A
G,A,O
G,A,M
G,A,D
G,A,M
G,A,L
G,D,A
G,A,A
G,A,O
G,A,A
G,A,C
G,A,L
G,D,H
G,A,D
G,A,A
G,A,L
G,A,L
G,A,L
G,A,L
G,A,A
G,A,O
G,A,L
G,A,O
G,D,O
G,A,A
G,A,A
G,A,D
G,A,A
G,A,O
G,A,A
G,A,M
G,A,A
G,A,D
G,A,F
G,A,M
G,A,O
G,A,M
G,A,A
G,A,M
G,A,M
G,A,O
G,A,A
G,A,A
G,A,A
G,A,M
G,A,D
G,A,M
G,A,L
G,A,L
G,A,A
G,A,A
G,A,D
G,A,L
G,A,A
G,A,A
G,A,L
G,A,L
G,A,M
G,A,O
G,A,L
G,A,M
G,A,M
G,A,A
G,A,D
G,A,L
G,A,A
G,A,O
G,A,L
G,A,D
G,A,A
G,A,A
G,A,A
G,A,C
G,A,A
G,A,M
G,A,O
G,A,O
G,A,M
G,A,D
G,A,A
G,A,L
G,A,A
G,A,M
G,A,H
G,D,M
G,A,A
G,A,A
G,A,M
G,A,A
G,A,O
G,A,O
G,A,L
G,A,A
G,A,M
G,A,O
G,A,M
G,A,M
G,A,M
G,A,O
G,A,L
G,A,A
G,A,A
G,A,O
G,A,M
G,A,M
G,A,D
G,A,F
G,A,O
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,O
G,A,O
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,A
G,D,M
G,A,A
G,A,M
G,A,O
G,A,L
G,A,B
G,A,H
G,A,A
G,A,L
G,A,A
G,A,M
G,A,A
G,A,A
G,A,O
G,A,M
G,A,L
G,A,O
G,A,A
G,A,D
G,A,H
G,A,M
G,A,M
G,A,O
G,A,O
G,D,H
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,A
G,A,L
G,A,L
G,A,A
G,A,L
G,A,M
G,A,M
G,A,O
G,A,A
G,A,M
G,A,A
G,A,M
G,A,L
G,A,O
G,A,F
G,A,L
G,A,A
G,A,D
G,A,A
G,D,O
G,A,M
G,A,M
G,A,L
G,A,M
G,A,F
G,A,C
G,A,O
G,A,M
G,A,A
G,A,M
G,D,F
G,A,F
G,A,O
G,A,O
G,D,O
G,A,O
G,A,A
G,A,A
G,A,M
G,A,A
G,A,A
G,A,A
G,A,A
G,A,L
G,A,L
G,A,F
G,A,C
G,A,L
G,A,H
G,D,A
G,A,O
G,A,A
G,A,O
G,D,O
G,A,O
G,A,M
G,A,D
G,A,F
G,A,L
G,A,L
G,A,E
G,A,M
G,A,A
G,A,L
G,A,L
G,A,A
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,M
G,A,O
G,A,A
G,A,O
G,A,M
G,A,A
G,A,M
G,A,M
G,A,M
G,A,C
G,A,L
G,A,M
G,D,A
G,A,F
G,A,A
G,A,L
G,A,A
G,A,A
G,A,A
G,A,A
G,D,L
G,A,A
G,A,L
G,A,A
G,A,L
G,A,O
G,A,A
G,A,H
G,A,O
G,A,A
G,A,M
G,A,D
G,A,A
G,A,D
G,A,M
G,A,A
G,A,L
G,A,L
G,A,H
G,A,M
G,D,F
G,A,C
G,A,L
G,A,M
G,A,L
G,A,M
G,A,L
G,A,M
G,A,O
G,A,L
G,A,L
G,D,A
G,A,L
G,A,F
G,A,L
G,A,A
G,A,B
G,D,C
G,A,O
G,A,L
G,A,B
G,A,A
G,A,M
G,A,L
G,A,O
G,A,A
G,A,L
G,D,A
G,A,L
G,A,F
G,A,M
G,A,A
G,D,O
G,A,L
G,A,A
G,D,L
G,A,L
G,A,J
G,A,A
G,A,H
G,A,A
G,A,M
G,A,A
G,A,F
G,A,F
G,A,A
G,A,L
G,D,M
G,A,A
G,A,M
G,A,A
G,A,D
G,A,L
G,A,O
G,A,L
G,A,O
G,A,A
G,A,L
G,A,L
G,D,M
G,A,H
G,A,O
G,A,L
G,A,L
G,A,L
G,A,M
G,A,C
G,A,O
G,D,M
G,A,L
G,A,L
G,A,O
G,A,L
G,D,A
G,A,L
G,A,D
G,A,O
