Year,Month,PrimaryType
G,A,A
G,A,C
G,B,L
G,B,L
G,B,M
E,L,C
G,A,A
G,C,C
G,A,C
G,C,C
E,H,C
G,B,A
C,G,C
G,A,O
G,B,C
G,B,C
G,A,C
G,B,A
G,C,A
C,K,C
G,B,A
G,B,O
G,B,L
E,A,B
G,D,L
F,I,C
G,B,L
G,B,O
G,B,O
G,B,A
G,A,O
G,C,A
E,H,B
G,B,O
G,A,A
G,A,C
E,A,C
G,A,C
E,F,O
G,B,M
G,B,A
G,B,C
G,C,A
G,B,L
E,J,C
G,C,A
G,C,A
C,A,A
G,C,O
G,A,C
G,D,L
G,C,A
E,J,C
G,C,L
G,C,O
G,B,A
F,J,C
G,B,C
G,A,E
G,C,A
G,B,C
G,C,A
G,B,L
E,B,C
G,C,A
G,C,L
G,C,L
G,C,L
G,C,M
G,C,C
G,C,A
G,A,O
G,C,A
C,A,C
G,C,M
G,B,C
E,F,C
G,B,C
D,H,C
G,C,C
G,D,A
G,D,A
G,C,L
G,C,A
G,C,M
G,C,L
G,C,O
G,D,O
G,D,A
G,C,A
G,C,M
G,C,A
G,C,A
F,C,F
G,C,A
G,C,A
G,C,A
F,C,F
G,C,M
F,C,F
G,C,A
F,C,F
G,D,O
G,C,A
G,C,L
F,C,F
F,C,F
F,C,F
F,G,F
G,C,A
G,C,L
F,J,C
G,A,E
G,B,O
F,A,C
G,B,C
G,C,L
G,D,L
G,A,A
G,B,M
G,B,C
F,G,C
B,J,C
G,C,M
G,C,H
G,C,L
G,C,O
G,D,O
G,C,L
F,I,C
F,I,C
G,C,O
F,H,A
G,B,A
F,F,O
G,C,A
G,D,E
G,C,C
G,C,A
G,C,L
G,C,A
F,I,L
B,D,E
G,B,A
F,J,A
G,C,C
G,B,C
D,E,C
F,J,G
G,C,O
G,C,M
G,C,O
G,C,O
D,H,C
G,B,C
G,C,C
E,E,C
G,C,L
G,C,A
G,C,A
G,C,A
G,B,C
G,C,A
C,B,C
G,A,N
G,B,C
G,B,A
G,B,M
G,B,A
G,C,O
G,C,A
E,A,B
G,C,C
G,C,C
G,B,B
G,B,N
G,C,O
F,F,F
F,F,F
G,B,B
E,F,E
A,L,C
G,C,C
G,A,C
G,D,C
G,C,A
G,C,C
G,B,A
G,C,C
G,D,M
G,C,A
G,B,C
E,K,E
G,C,M
G,C,A
G,B,A
G,C,A
G,A,D
G,C,L
G,A,C
G,C,C
G,A,A
G,C,O
G,C,O
G,C,O
G,C,A
G,B,A
G,C,G
F,J,G
G,B,O
G,C,O
G,B,C
G,A,C
G,C,M
G,C,A
G,C,O
G,C,H
G,C,M
G,C,O
G,C,O
G,C,A
G,C,A
E,K,C
G,D,L
F,L,A
F,K,A
G,D,A
G,D,A
G,D,A
G,D,L
G,D,M
G,B,C
G,B,A
G,A,A
F,C,F
F,D,F
F,C,F
F,C,F
F,D,F
F,C,F
F,D,F
F,D,F
F,C,F
G,D,O
G,D,C
G,D,B
G,D,M
G,D,M
G,C,C
G,C,C
G,A,C
G,A,E
G,C,A
G,C,O
G,A,M
G,A,A
G,A,C
G,A,H
G,A,L
G,A,L
G,A,A
G,A,L
G,A,L
G,A,M
G,A,L
G,A,L
G,A,A
G,A,M
G,A,L
G,A,A
G,A,O
G,A,A
G,A,A
G,A,A
G,A,F
G,A,F
G,A,L
G,A,A
G,A,A
G,A,C
G,A,A
G,A,O
G,A,D
G,A,A
G,A,M
G,A,A
G,A,M
G,A,A
G,A,M
G,A,L
G,A,D
G,A,O
G,A,A
G,A,O
G,A,C
G,A,D
G,A,L
G,D,F
G,A,O
G,A,M
G,A,L
G,A,A
G,A,L
G,A,M
G,A,O
G,A,A
G,A,L
G,A,A
G,A,M
G,A,A
G,A,A
G,A,A
G,A,M
G,A,M
G,A,L
G,A,M
G,A,O
G,A,L
G,A,F
G,D,O
G,A,D
G,A,M
G,A,M
G,A,M
G,A,A
G,A,A
G,A,M
G,A,A
G,A,O
G,A,M
G,A,D
G,A,M
G,A,L
G,D,A
G,A,A
G,A,O
G,A,A
G,A,C
G,A,L
G,D,H
G,A,D
G,A,A
G,A,L
G,A,L
G,A,L
G,A,L
G,A,A
G,A,O
G,A,L
G,A,O
G,D,O
G,A,A
G,A,A
G,A,D
G,A,A
G,A,O
G,A,A
G,A,M
G,A,A
G,A,D
G,A,F
G,A,M
G,A,O
G,A,M
G,A,A
G,A,M
G,A,M
G,A,O
G,A,A
G,A,A
G,A,A
G,A,M
G,A,D
G,A,M
G,A,L
G,A,L
G,A,A
G,A,A
G,A,D
G,A,L
G,A,A
G,A,A
G,A,L
G,A,L
G,A,M
G,A,O
G,A,L
G,A,M
G,A,M
G,A,A
G,A,D
G,A,L
G,A,A
G,A,O
G,A,L
G,A,D
G,A,A
G,A,A
G,A,A
G,A,C
G,A,A
G,A,M
G,A,O
G,A,O
G,A,M
G,A,D
G,A,A
G,A,L
G,A,A
G,A,M
G,A,H
G,D,M
G,A,A
G,A,A
G,A,M
G,A,A
G,A,O
G,A,O
G,A,L
G,A,A
G,A,M
G,A,O
G,A,M
G,A,M
G,A,M
G,A,O
G,A,L
G,A,A
G,A,A
G,A,O
G,A,M
G,A,M
G,A,D
G,A,F
G,A,O
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,O
G,A,O
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,A
G,D,M
G,A,A
G,A,M
G,A,O
G,A,L
G,A,B
G,A,H
G,A,A
G,A,L
G,A,A
G,A,M
G,A,A
G,A,A
G,A,O
G,A,M
G,A,L
G,A,O
G,A,A
G,A,D
G,A,H
G,A,M
G,A,M
G,A,O
G,A,O
G,D,H
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,A
G,A,L
G,A,L
G,A,A
G,A,L
G,A,M
G,A,M
G,A,O
G,A,A
G,A,M
G,A,A
G,A,M
G,A,L
G,A,O
G,A,F
G,A,L
G,A,A
G,A,D
G,A,A
G,D,O
G,A,M
G,A,M
G,A,L
G,A,M
G,A,F
G,A,C
G,A,O
G,A,M
G,A,A
G,A,M
G,D,F
G,A,F
G,A,O
G,A,O
G,D,O
G,A,O
G,A,A
G,A,A
G,A,M
G,A,A
G,A,A
G,A,A
G,A,A
G,A,L
G,A,L
G,A,F
G,A,C
G,A,L
G,A,H
G,D,A
G,A,O
G,A,A
G,A,O
G,D,O
G,A,O
G,A,M
G,A,D
G,A,F
G,A,L
G,A,L
G,A,E
G,A,M
G,A,A
G,A,L
G,A,L
G,A,A
G,A,L
G,A,L
G,A,A
G,A,A
G,A,A
G,A,L
G,A,A
G,A,M
G,A,O
G,A,A
G,A,O
G,A,M
G,A,A
G,A,M
G,A,M
G,A,M
G,A,C
G,A,L
G,A,M
G,D,A
G,A,F
G,A,A
G,A,L
G,A,A
G,A,A
G,A,A
G,A,A
G,D,L
G,A,A
G,A,L
G,A,A
G,A,L
G,A,O
G,A,A
G,A,H
G,A,O
G,A,A
G,A,M
G,A,D
G,A,A
G,A,D
G,A,M
G,A,A
G,A,L
G,A,L
G,A,H
G,A,M
G,D,F
G,A,C
G,A,L
G,A,M
G,A,L
G,A,M
G,A,L
G,A,M
G,A,O
G,A,L
G,A,L
G,D,A
G,A,L
G,A,F
G,A,L
G,A,A
G,A,B
