Year,Month,PrimaryType,Location Description,Arrest,Latitude,Longitude
G,A,A,I,0,41.88350019,-87.6278767
G,A,C,C,0,0,0
G,B,L,C,0,0,0
G,B,L,C,0,0,0
G,B,M,M,0,0,0
E,L,C,O,0,0,0
G,A,A,I,0,0,0
G,C,C,G,0,0,0
G,A,C,G,0,0,0
G,C,C,O,0,0,0
E,H,C,K,0,0,0
G,B,A,H,0,0,0
C,G,C,E,0,0,0
G,A,O,G,0,0,0
G,B,C,N,0,0,0
G,B,C,A,0,0,0
G,A,C,G,0,0,0
G,B,A,H,0,0,0
G,C,A,H,0,0,0
C,K,C,G,0,0,0
G,B,A,K,0,0,0
G,B,O,H,1,0,0
G,B,L,M,0,0,0
E,A,B,C,0,0,0
G,D,L,G,0,0,0
F,I,C,N,0,0,0
G,B,L,C,0,0,0
G,B,O,G,0,0,0
G,B,O,I,0,0,0
G,B,A,L,0,0,0
G,A,O,G,0,0,0
G,C,A,C,0,0,0
E,H,B,G,0,0,0
G,B,O,L,0,0,0
G,A,A,C,0,0,0
G,A,C,G,0,0,0
E,A,C,C,0,0,0
G,A,C,O,0,0,0
E,F,O,O,0,0,0
G,B,M,L,0,0,0
G,B,A,C,0,0,0
G,B,C,G,0,0,0
G,C,A,C,0,0,0
G,B,L,C,0,0,0
E,J,C,G,0,0,0
G,C,A,H,0,0,0
G,C,A,H,0,0,0
C,A,A,G,0,0,0
G,C,O,G,0,0,0
G,A,C,G,0,0,0
G,D,L,H,0,0,0
G,C,A,H,0,0,0
E,J,C,G,0,0,0
G,C,L,M,0,0,0
G,C,O,G,0,0,0
G,B,A,G,0,0,0
F,J,C,G,0,0,0
G,B,C,G,0,0,0
G,A,E,M,0,0,0
G,C,A,I,0,0,0
G,B,C,M,0,0,0
G,C,A,G,0,0,0
G,B,L,M,0,0,0
E,B,C,G,0,0,0
G,C,A,K,0,0,0
G,C,L,K,0,0,0
G,C,L,M,0,0,0
G,C,L,C,0,0,0
G,C,M,H,1,0,0
G,C,C,O,0,0,0
G,C,A,H,0,0,0
G,A,O,C,0,0,0
G,C,A,C,0,0,0
C,A,C,G,0,0,0
G,C,M,H,0,0,0
G,B,C,O,0,0,0
E,F,C,G,0,0,0
G,B,C,G,0,0,0
D,H,C,G,0,0,0
G,C,C,G,0,0,0
G,D,A,H,0,0,0
G,D,A,H,0,0,0
G,C,L,J,0,0,0
G,C,A,H,0,0,0
G,C,M,H,0,0,0
G,C,L,H,0,0,0
G,C,O,H,0,0,0
G,D,O,H,0,0,0
G,D,A,M,0,0,0
G,C,A,C,0,0,0
G,C,M,G,0,0,0
G,C,A,L,0,0,0
G,C,A,G,0,0,0
F,C,F,F,1,0,0
G,C,A,G,0,0,0
G,C,A,K,0,0,0
G,C,A,H,0,0,0
F,C,F,H,1,0,0
G,C,M,C,0,0,0
F,C,F,H,1,0,0
G,C,A,H,0,0,0
F,C,F,H,1,0,0
G,D,O,H,0,0,0
G,C,A,F,0,0,0
G,C,L,C,0,0,0
F,C,F,C,1,0,0
F,C,F,C,1,0,0
F,C,F,H,1,0,0
F,G,F,C,1,0,0
G,C,A,C,0,0,0
G,C,L,C,0,0,0
F,J,C,G,0,0,0
G,A,E,G,0,0,0
G,B,O,G,0,0,0
F,A,C,G,0,0,0
G,B,C,I,0,0,0
G,C,L,L,0,0,0
G,D,L,C,0,0,0
G,A,A,B,0,0,0
G,B,M,G,0,0,0
G,B,C,G,0,0,0
F,G,C,G,0,0,0
B,J,C,G,0,0,0
G,C,M,G,0,0,0
G,C,H,M,0,0,0
G,C,L,M,0,0,0
G,C,O,G,0,0,0
G,D,O,G,0,0,0
G,C,L,K,0,0,0
F,I,C,G,0,0,0
F,I,C,C,0,0,0
G,C,O,G,0,0,0
F,H,A,G,0,0,0
G,B,A,O,0,0,0
F,F,O,G,0,0,0
G,C,A,C,0,0,0
G,D,E,G,0,0,0
G,C,C,G,0,0,0
G,C,A,G,0,0,0
G,C,L,M,0,0,0
G,C,A,C,0,0,0
F,I,L,G,0,0,0
B,D,E,C,0,0,0
G,B,A,B,0,0,0
F,J,A,G,0,0,0
G,C,C,G,0,0,0
G,B,C,C,0,0,0
D,E,C,G,0,0,0
F,J,G,H,0,0,0
G,C,O,I,0,0,0
G,C,M,C,0,0,0
G,C,O,C,0,0,0
G,C,O,G,0,0,0
D,H,C,G,0,0,0
G,B,C,E,0,0,0
G,C,C,G,0,0,0
E,E,C,G,0,0,0
G,C,L,C,0,0,0
G,C,A,C,0,0,0
G,C,A,C,0,0,0
G,C,A,I,0,0,0
G,B,C,G,0,0,0
G,C,A,O,0,0,0
C,B,C,G,0,0,0
G,A,N,A,0,0,0
G,B,C,N,0,0,0
G,B,A,K,0,0,0
